# DPDAK 1.5.0
# Date: 2025-10-26 23:6:4
# 1 Inputs (1): jg_4nm_au_bs_00001.cbf 
x-Axis_1	Intensity_1	
-1.777442E-01	6.225000E+00	
-1.773414E-01	2.900000E+00	
-1.769386E-01	1.450000E+00	
-1.765358E-01	4.850000E+00	
-1.761330E-01	4.775000E+00	
-1.757302E-01	3.200000E+00	
-1.753274E-01	1.800000E+00	
-1.749246E-01	4.025000E+00	
-1.745218E-01	6.975000E+00	
-1.741190E-01	2.875000E+00	
-1.737162E-01	4.375000E+00	
-1.733134E-01	5.150000E+00	
-1.729106E-01	2.825000E+00	
-1.725078E-01	4.225000E+00	
-1.721050E-01	2.550000E+00	
-1.717022E-01	4.125000E+00	
-1.712994E-01	3.500000E+00	
-1.708966E-01	4.450000E+00	
-1.704938E-01	9.750000E-01	
-1.700910E-01	5.750000E+00	
-1.696881E-01	6.475000E+00	
-1.692853E-01	5.050000E+00	
-1.688825E-01	5.800000E+00	
-1.684797E-01	2.300000E+00	
-1.680768E-01	3.700000E+00	
-1.676740E-01	3.825000E+00	
-1.672712E-01	4.250000E+00	
-1.668684E-01	4.600000E+00	
-1.664655E-01	7.600000E+00	
-1.660627E-01	5.975000E+00	
-1.656599E-01	4.625000E+00	
-1.652570E-01	5.000000E+00	
-1.648542E-01	6.425000E+00	
-1.644513E-01	6.450000E+00	
-1.640485E-01	4.350000E+00	
-1.636457E-01	2.575000E+00	
-1.632428E-01	4.100000E+00	
-1.628400E-01	4.300000E+00	
-1.624371E-01	5.025000E+00	
-1.620343E-01	3.800000E+00	
-1.616314E-01	4.375000E+00	
-1.612286E-01	7.450000E+00	
-1.608257E-01	3.675000E+00	
-1.604229E-01	2.375000E+00	
-1.600200E-01	5.450000E+00	
-1.596171E-01	7.600000E+00	
-1.592143E-01	2.950000E+00	
-1.588114E-01	6.025000E+00	
-1.584086E-01	4.725000E+00	
-1.580057E-01	7.550000E+00	
-1.576028E-01	2.175000E+00	
-1.571999E-01	7.850000E+00	
-1.567971E-01	3.900000E+00	
